Upper,     m=16,n=1, i=15,fi=30,     band=20,5,     obserAnalytic=5,     observModel=4,     long=0,090144,     valid=False,     error=0,     limit=1754,76829932471,     length=0,180288222062233,     
Upper,     m=16,n=1, i=15,fi=35,     band=30,5,     obserAnalytic=7,     observModel=6,     long=0,043727,     valid=False,     error=0,     limit=1754,76829932471,     length=0,0874534150988868,     
Upper,     m=16,n=1, i=20,fi=20,     band=30,5,     obserAnalytic=11,     observModel=10,     long=0,035079,     valid=False,     error=0,     limit=1755,96029920939,     length=0,0701575287567895,     
Upper,     m=16,n=1, i=20,fi=35,     band=20,5,     obserAnalytic=5,     observModel=4,     long=17,005146,     valid=False,     error=0,     limit=1755,96029920939,     length=0,244878934214402,     
Upper,     m=16,n=1, i=20,fi=50,     band=55,5,     obserAnalytic=11,     observModel=10,     long=17,005146,     valid=False,     error=0,     limit=1755,96029920939,     length=0,0716365737227029,     
Upper,     m=16,n=1, i=20,fi=55,     band=55,5,     obserAnalytic=10,     observModel=9,     long=5,755146,     valid=False,     error=0,     limit=1755,96029920939,     length=0,102164218928571,     
Upper,     m=16,n=1, i=25,fi=30,     band=15,5,     obserAnalytic=6,     observModel=5,     long=5,750406,     valid=False,     error=0,     limit=1757,47499670377,     length=0,102037202166851,     
Upper,     m=16,n=1, i=25,fi=60,     band=45,5,     obserAnalytic=7,     observModel=6,     long=17,000406,     valid=False,     error=0,     limit=1757,47499670377,     length=0,0981509205785081,     
Upper,     m=16,n=1, i=30,fi=40,     band=30,5,     obserAnalytic=8,     observModel=7,     long=5,744697,     valid=False,     error=0,     limit=1759,29923867542,     length=0,0288742535543012,     
Upper,     m=16,n=1, i=30,fi=40,     band=50,5,     obserAnalytic=11,     observModel=10,     long=0,110971,     valid=False,     error=0,     limit=1759,29923867542,     length=0,221942493611063,     
Upper,     m=16,n=1, i=35,fi=35,     band=50,5,     obserAnalytic=12,     observModel=11,     long=5,73807,     valid=False,     error=0,     limit=1761,41722773885,     length=0,0224121521924614,     
Upper,     m=16,n=1, i=35,fi=45,     band=10,5,     obserAnalytic=2,     observModel=1,     long=5,73807,     valid=False,     error=0,     limit=1761,41722773885,     length=0,0645284801529717,     
Upper,     m=16,n=1, i=40,fi=5,band=35,5,     obserAnalytic=13,     observModel=12,     long=16,98058,     valid=False,     error=0,     limit=1763,81068687981,     length=0,118175484225688,     
Upper,     m=16,n=1, i=40,fi=5,band=40,5,     obserAnalytic=14,     observModel=13,     long=5,73058,     valid=False,     error=0,     limit=1763,81068687981,     length=0,1121675138675,     
Upper,     m=16,n=1, i=40,fi=35,     band=15,5,     obserAnalytic=7,     observModel=6,     long=16,98058,     valid=False,     error=0,     limit=1763,81068687981,     length=0,152388377071315,     
Upper,     m=16,n=1, i=40,fi=45,     band=15,5,     obserAnalytic=5,     observModel=4,     long=0,050476,     valid=False,     error=0,     limit=1763,81068687981,     length=0,100952505581223,     
Upper,     m=16,n=1, i=40,fi=50,     band=50,5,     obserAnalytic=11,     observModel=10,     long=16,98058,     valid=False,     error=0,     limit=1763,81068687981,     length=0,0537759481502853,     
Upper,     m=16,n=1, i=40,fi=80,     band=45,5,     obserAnalytic=7,     observModel=6,     long=16,98058,     valid=False,     error=0,     limit=1763,81068687981,     length=0,0623974502714653,     
Upper,     m=16,n=1, i=45,fi=35,     band=50,5,     obserAnalytic=12,     observModel=11,     long=5,722292,     valid=False,     error=0,     limit=1766,45905110385,     length=0,0841380164697485,     
Upper,     m=16,n=1, i=45,fi=45,     band=25,5,     obserAnalytic=8,     observModel=7,     long=5,722292,     valid=False,     error=0,     limit=1766,45905110385,     length=0,162657358968101,     
Upper,     m=16,n=1, i=45,fi=45,     band=35,5,     obserAnalytic=9,     observModel=8,     long=0,036642,     valid=False,     error=0,     limit=1766,45905110385,     length=0,0732845863493843,     
Upper,     m=16,n=1, i=45,fi=50,     band=25,5,     obserAnalytic=7,     observModel=6,     long=0,043021,     valid=False,     error=0,     limit=1766,45905110385,     length=0,0860429278045611,     
Upper,     m=16,n=1, i=45,fi=55,     band=55,5,     obserAnalytic=12,     observModel=11,     long=5,722292,     valid=False,     error=0,     limit=1766,45905110385,     length=0,0602989641140637,     
