Upper,     m=16,n=1, i=5, fi=5,band=5,5,     obserAnalytic=7,     observModel=8,     long=17,013186,     valid=False,     error=0,     limit=1753,39099630153,     length=0,00990955663024451,     
Upper,     m=16,n=1, i=10,fi=30,     band=25,5,     obserAnalytic=5,     observModel=6,     long=0,063069,     valid=False,     error=0,     limit=1753,90936979043,     length=0,126138694580893,     
Upper,     m=16,n=1, i=15,fi=15,     band=20,5,     obserAnalytic=9,     observModel=10,     long=0,099793,     valid=False,     error=0,     limit=1754,76829932471,     length=0,199585797760976,     
Upper,     m=16,n=1, i=15,fi=25,     band=25,5,     obserAnalytic=7,     observModel=8,     long=17,008876,     valid=False,     error=0,     limit=1754,76829932471,     length=0,135120022973386,     
Upper,     m=16,n=1, i=15,fi=45,     band=50,5,     obserAnalytic=9,     observModel=10,     long=17,008876,     valid=False,     error=0,     limit=1754,76829932471,     length=0,0101681995625071,     
Upper,     m=16,n=1, i=15,fi=60,     band=45,5,     obserAnalytic=1,     observModel=2,     long=0,033622,     valid=False,     error=0,     limit=1754,76829932471,     length=0,0672431084229963,     
Upper,     m=16,n=1, i=25,fi=35,     band=50,5,     obserAnalytic=11,     observModel=12,     long=0,103473,     valid=False,     error=0,     limit=1757,47499670377,     length=0,206946585065669,     
Upper,     m=16,n=1, i=30,fi=35,     band=5,5,     obserAnalytic=0,     observModel=1,     long=5,744697,     valid=False,     error=0,     limit=1759,29923867542,     length=0,0661632846943618,     
Upper,     m=16,n=1, i=30,fi=40,     band=25,5,     obserAnalytic=5,     observModel=6,     long=16,994697,     valid=False,     error=0,     limit=1759,29923867542,     length=0,119666000378228,     
Upper,     m=16,n=1, i=30,fi=60,     band=45,5,     obserAnalytic=6,     observModel=7,     long=5,744697,     valid=False,     error=0,     limit=1759,29923867542,     length=0,0158685781381465,     
Upper,     m=16,n=1, i=35,fi=15,     band=25,5,     obserAnalytic=9,     observModel=10,     long=0,019232,     valid=False,     error=0,     limit=1761,41722773885,     length=0,038464729515761,     
Upper,     m=16,n=1, i=35,fi=65,     band=55,5,     obserAnalytic=9,     observModel=10,     long=0,037409,     valid=False,     error=0,     limit=1761,41722773885,     length=0,0748185289427798,     
Upper,     m=16,n=1, i=35,fi=75,     band=40,5,     obserAnalytic=1,     observModel=2,     long=0,060885,     valid=False,     error=0,     limit=1761,41722773885,     length=0,121769063474183,     
Upper,     m=16,n=1, i=35,fi=75,     band=55,5,     obserAnalytic=8,     observModel=9,     long=5,73807,     valid=False,     error=0,     limit=1761,41722773885,     length=0,210344132012814,     
Upper,     m=16,n=1, i=40,fi=50,     band=10,5,     obserAnalytic=0,     observModel=1,     long=5,73058,     valid=False,     error=0,     limit=1763,81068687981,     length=0,0486978131818958,     
Upper,     m=16,n=1, i=45,fi=25,     band=20,5,     obserAnalytic=7,     observModel=8,     long=16,972292,     valid=False,     error=0,     limit=1766,45905110385,     length=0,139559315816491,     
Upper,     m=16,n=1, i=45,fi=65,     band=30,5,     obserAnalytic=5,     observModel=6,     long=0,047481,     valid=False,     error=0,     limit=1766,45905110385,     length=0,0949617922582142,     
Upper,     m=16,n=1, i=50,fi=65,     band=50,5,     obserAnalytic=10,     observModel=11,     long=5,713278,     valid=False,     error=0,     limit=1769,33968409848,     length=0,117569003657078,     
Upper,     m=16,n=1, i=55,fi=65,     band=50,5,     obserAnalytic=11,     observModel=12,     long=16,953614,     valid=False,     error=0,     limit=1772,42811729093,     length=0,0677184620896121,     
Upper,     m=16,n=1, i=60,fi=30,     band=55,5,     obserAnalytic=11,     observModel=12,     long=16,94338,     valid=False,     error=0,     limit=1775,69830805521,     length=0,0558082200234296,     
