Upper,     m=16,n=1, i=10,fi=30,     band=35,5,     obserAnalytic=11,     observModel=11,     long=0,216052,     valid=False,     error=1760,80741269908,     limit=1753,90936979043,     length=0,432104849002009,     
Upper,     m=16,n=1, i=15,fi=5,band=15,5,     obserAnalytic=11,     observModel=11,     long=1,303466,     valid=False,     error=1831,24287221448,     limit=1754,76829932471,     length=2,60693257048104,     
Upper,     m=16,n=1, i=15,fi=5,band=15,5,     obserAnalytic=12,     observModel=12,     long=5,758876,     valid=False,     error=1901,21765865625,     limit=1754,76829932471,     length=6,30388663255962,     
Upper,     m=16,n=1, i=15,fi=10,     band=20,5,     obserAnalytic=11,     observModel=11,     long=1,044626,     valid=False,     error=1809,66505386704,     limit=1754,76829932471,     length=2,08925151938505,     
Upper,     m=16,n=1, i=15,fi=10,     band=20,5,     obserAnalytic=12,     observModel=12,     long=5,758876,     valid=False,     error=1884,72051787223,     limit=1754,76829932471,     length=7,33924873475157,     
Upper,     m=16,n=1, i=15,fi=15,     band=25,5,     obserAnalytic=11,     observModel=11,     long=0,775007,     valid=False,     error=1786,73171877835,     limit=1754,76829932471,     length=1,55001325221255,     
Upper,     m=16,n=1, i=15,fi=15,     band=25,5,     obserAnalytic=12,     observModel=12,     long=5,758876,     valid=False,     error=1867,13896369522,     limit=1754,76829932471,     length=8,41772526909663,     
Upper,     m=16,n=1, i=15,fi=20,     band=30,5,     obserAnalytic=11,     observModel=11,     long=0,489423,     valid=False,     error=1761,9709463052,     limit=1754,76829932471,     length=0,978846681942755,     
Upper,     m=16,n=1, i=15,fi=20,     band=30,5,     obserAnalytic=12,     observModel=12,     long=5,758876,     valid=False,     error=1848,10148412948,     limit=1754,76829932471,     length=9,5600584096362,     
Upper,     m=16,n=1, i=15,fi=25,     band=35,5,     obserAnalytic=12,     observModel=12,     long=5,758876,     valid=False,     error=1827,07591334329,     limit=1754,76829932471,     length=10,7917098339014,     
Upper,     m=16,n=1, i=15,fi=30,     band=40,5,     obserAnalytic=12,     observModel=12,     long=5,915795,     valid=False,     error=1806,07042428658,     limit=1754,76829932471,     length=11,8315893162723,     
Upper,     m=16,n=1, i=15,fi=30,     band=40,5,     obserAnalytic=12,     observModel=12,     long=22,343081,     valid=False,     error=1900,46459380022,     limit=1754,76829932471,     length=0,313837542750658,     
Upper,     m=16,n=1, i=15,fi=35,     band=45,5,     obserAnalytic=12,     observModel=12,     long=6,295743,     valid=False,     error=1785,44648809037,     limit=1754,76829932471,     length=12,5914853219397,     
Upper,     m=16,n=1, i=15,fi=35,     band=45,5,     obserAnalytic=12,     observModel=12,     long=21,963133,     valid=False,     error=1881,62793152948,     limit=1754,76829932471,     length=1,07373354841798,     
Upper,     m=16,n=1, i=15,fi=40,     band=50,5,     obserAnalytic=12,     observModel=12,     long=6,732657,     valid=False,     error=1761,12751366621,     limit=1754,76829932471,     length=13,4653135886732,     
Upper,     m=16,n=1, i=15,fi=40,     band=50,5,     obserAnalytic=12,     observModel=12,     long=21,526219,     valid=False,     error=1859,24684400205,     limit=1754,76829932471,     length=1,94756181515157,     
Upper,     m=16,n=1, i=15,fi=45,     band=55,5,     obserAnalytic=12,     observModel=12,     long=21,009616,     valid=False,     error=1831,79511977592,     limit=1754,76829932471,     length=2,98076889055972,     
Upper,     m=16,n=1, i=20,fi=5,band=20,5,     obserAnalytic=12,     observModel=12,     long=7,632658,     valid=False,     error=1914,30512309627,     limit=1755,96029920939,     length=15,2653155777639,     
Upper,     m=16,n=1, i=20,fi=5,band=20,5,     obserAnalytic=12,     observModel=12,     long=20,622488,     valid=False,     error=2002,14198910717,     limit=1755,96029920939,     length=3,7550239564597,     
Upper,     m=16,n=1, i=20,fi=10,     band=25,5,     obserAnalytic=12,     observModel=12,     long=7,943138,     valid=False,     error=1897,20396249797,     limit=1755,96029920939,     length=15,8862752513727,     
Upper,     m=16,n=1, i=20,fi=10,     band=25,5,     obserAnalytic=12,     observModel=12,     long=20,312008,     valid=False,     error=1987,01017485275,     limit=1755,96029920939,     length=4,3759836300685,     
Upper,     m=16,n=1, i=20,fi=15,     band=30,5,     obserAnalytic=12,     observModel=12,     long=8,268262,     valid=False,     error=1878,82674585033,     limit=1755,96029920939,     length=16,5365249166184,     
Upper,     m=16,n=1, i=20,fi=15,     band=30,5,     obserAnalytic=12,     observModel=12,     long=19,986883,     valid=False,     error=1970,6424952907,     limit=1755,96029920939,     length=5,02623329531423,     
Upper,     m=16,n=1, i=20,fi=20,     band=35,5,     obserAnalytic=12,     observModel=12,     long=8,390495,     valid=False,     error=1854,92330221733,     limit=1755,96029920939,     length=16,7809903193689,     
Upper,     m=16,n=1, i=20,fi=20,     band=35,5,     obserAnalytic=13,     observModel=13,     long=17,005146,     valid=False,     error=2003,16685302068,     limit=1755,96029920939,     length=0,448310982566323,     
Upper,     m=16,n=1, i=20,fi=20,     band=35,5,     obserAnalytic=12,     observModel=12,     long=19,864651,     valid=False,     error=1948,72849337243,     limit=1755,96029920939,     length=5,27069869806479,     
Upper,     m=16,n=1, i=20,fi=25,     band=40,5,     obserAnalytic=12,     observModel=12,     long=8,014567,     valid=False,     error=1819,51525876937,     limit=1755,96029920939,     length=16,0291348262084,     
Upper,     m=16,n=1, i=20,fi=25,     band=40,5,     obserAnalytic=13,     observModel=13,     long=17,005146,     valid=False,     error=1977,48496906694,     limit=1755,96029920939,     length=1,95202196888739,     
Upper,     m=16,n=1, i=20,fi=25,     band=40,5,     obserAnalytic=12,     observModel=12,     long=20,240578,     valid=False,     error=1915,04865181806,     limit=1755,96029920939,     length=4,51884320490421,     
Upper,     m=16,n=1, i=20,fi=30,     band=45,5,     obserAnalytic=12,     observModel=12,     long=7,598252,     valid=False,     error=1779,11351566375,     limit=1755,96029920939,     length=15,1965043778593,     
Upper,     m=16,n=1, i=20,fi=30,     band=45,5,     obserAnalytic=13,     observModel=13,     long=17,005146,     valid=False,     error=1947,74382020032,     limit=1755,96029920939,     length=3,61728286558564,     
Upper,     m=16,n=1, i=20,fi=30,     band=45,5,     obserAnalytic=12,     observModel=12,     long=20,656894,     valid=False,     error=1876,23444301006,     limit=1755,96029920939,     length=3,68621275655505,     
Upper,     m=16,n=1, i=20,fi=35,     band=50,5,     obserAnalytic=13,     observModel=13,     long=17,005146,     valid=False,     error=1912,41615823579,     limit=1755,96029920939,     length=5,50361532311157,     
Upper,     m=16,n=1, i=20,fi=35,     band=50,5,     obserAnalytic=12,     observModel=12,     long=21,128477,     valid=False,     error=1830,50742662761,     limit=1755,96029920939,     length=2,74304652779216,     
Upper,     m=16,n=1, i=20,fi=40,     band=55,5,     obserAnalytic=13,     observModel=13,     long=17,005146,     valid=False,     error=1869,2513016375,     limit=1755,96029920939,     length=7,69659258055646,     
Upper,     m=16,n=1, i=20,fi=40,     band=55,5,     obserAnalytic=12,     observModel=12,     long=21,676721,     valid=False,     error=1775,32553825753,     limit=1755,96029920939,     length=1,64655789906971,     
Upper,     m=16,n=1, i=25,fi=5,band=20,5,     obserAnalytic=11,     observModel=11,     long=2,129401,     valid=False,     error=1807,8707316824,     limit=1757,47499670377,     length=4,25880115877816,     
Upper,     m=16,n=1, i=25,fi=5,band=25,5,     obserAnalytic=12,     observModel=12,     long=7,151216,     valid=False,     error=1886,35050734545,     limit=1757,47499670377,     length=14,3024311926417,     
Upper,     m=16,n=1, i=25,fi=5,band=25,5,     obserAnalytic=13,     observModel=13,     long=17,000406,     valid=False,     error=2045,63307612133,     limit=1757,47499670377,     length=5,39594947514429,     
Upper,     m=16,n=1, i=25,fi=5,band=25,5,     obserAnalytic=12,     observModel=12,     long=21,09919,     valid=False,     error=1974,39387432759,     limit=1757,47499670377,     length=2,80161933221405,     
Upper,     m=16,n=1, i=25,fi=10,     band=25,5,     obserAnalytic=11,     observModel=11,     long=2,614377,     valid=False,     error=1785,15343116692,     limit=1757,47499670377,     length=5,22875353052805,     
Upper,     m=16,n=1, i=25,fi=10,     band=30,5,     obserAnalytic=12,     observModel=12,     long=6,792432,     valid=False,     error=1851,73654170831,     limit=1757,47499670377,     length=13,5848636197504,     
Upper,     m=16,n=1, i=25,fi=10,     band=30,5,     obserAnalytic=13,     observModel=13,     long=17,000406,     valid=False,     error=2020,86427967616,     limit=1757,47499670377,     length=6,83108462092681,     
Upper,     m=16,n=1, i=25,fi=10,     band=30,5,     obserAnalytic=12,     observModel=12,     long=21,457974,     valid=False,     error=1941,68055933123,     limit=1757,47499670377,     length=2,08405175932279,     
Upper,     m=16,n=1, i=25,fi=15,     band=30,5,     obserAnalytic=12,     observModel=12,     long=5,750406,     valid=False,     error=1803,21464043022,     limit=1757,47499670377,     length=0,989252925495392,     
Upper,     m=16,n=1, i=25,fi=15,     band=35,5,     obserAnalytic=12,     observModel=12,     long=6,414516,     valid=False,     error=1814,06544488184,     limit=1757,47499670377,     length=12,8290311729665,     
Upper,     m=16,n=1, i=25,fi=15,     band=35,5,     obserAnalytic=13,     observModel=13,     long=17,000406,     valid=False,     error=1993,52105696629,     limit=1757,47499670377,     length=8,34274951449461,     
Upper,     m=16,n=1, i=25,fi=15,     band=35,5,     obserAnalytic=12,     observModel=12,     long=21,83589,     valid=False,     error=1905,77938056173,     limit=1757,47499670377,     length=1,32821931253892,     
Upper,     m=16,n=1, i=25,fi=20,     band=35,5,     obserAnalytic=12,     observModel=12,     long=5,750406,     valid=False,     error=1768,17830798402,     limit=1757,47499670377,     length=3,15646591331515,     
Upper,     m=16,n=1, i=25,fi=20,     band=40,5,     obserAnalytic=12,     observModel=12,     long=6,009216,     valid=False,     error=1772,47237054274,     limit=1757,47499670377,     length=12,0184315190067,     
