Upper,     m=2, n=1, i=41,fi=29,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00635,     valid=False,     error=14419,6196845951,     limit=14378,3731308141,     length=0,326394108078716,     
Upper,     m=2, n=1, i=42,fi=26,     band=60,     obserAnalytic=2,     observModel=2,     long=135,006252,     valid=False,     error=15308,2088650328,     limit=14378,4042218991,     length=0,0398519769273662,     
Upper,     m=2, n=1, i=42,fi=27,     band=60,     obserAnalytic=2,     observModel=2,     long=135,006252,     valid=False,     error=14814,2364360532,     limit=14378,4042218991,     length=0,401481852509392,     
Upper,     m=2, n=1, i=43,fi=24,     band=60,     obserAnalytic=2,     observModel=2,     long=135,006153,     valid=False,     error=15753,1807869361,     limit=14378,4359217382,     length=0,0695653843995387,     
Upper,     m=2, n=1, i=43,fi=25,     band=60,     obserAnalytic=2,     observModel=2,     long=135,006153,     valid=False,     error=15229,9176998794,     limit=14378,4359217382,     length=0,420501605799188,     
Upper,     m=2, n=1, i=43,fi=26,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,006153,     valid=False,     error=14748,1207442499,     limit=14378,4359217382,     length=0,273642205395646,     
Upper,     m=2, n=1, i=43,fi=26,     band=60,     obserAnalytic=2,     observModel=2,     long=135,006153,     valid=False,     error=14748,1207442499,     limit=14378,4359217382,     length=0,814977393036543,     
Upper,     m=2, n=1, i=44,fi=22,     band=60,     obserAnalytic=2,     observModel=2,     long=135,006052,     valid=False,     error=16232,3814357785,     limit=14378,4682206793,     length=0,0582127795581755,     
Upper,     m=2, n=1, i=44,fi=23,     band=60,     obserAnalytic=2,     observModel=2,     long=135,006052,     valid=False,     error=15671,6001129627,     limit=14378,4682206793,     length=0,393346056269024,     
Upper,     m=2, n=1, i=44,fi=24,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,006052,     valid=False,     error=15161,4997312933,     limit=14378,4682206793,     length=0,274200319271756,     
Upper,     m=2, n=1, i=44,fi=24,     band=60,     obserAnalytic=2,     observModel=2,     long=135,006052,     valid=False,     error=15161,4997312933,     limit=14378,4682206793,     length=0,775393581133386,     
Upper,     m=2, n=1, i=44,fi=25,     band=59,     obserAnalytic=2,     observModel=2,     long=135,006052,     valid=False,     error=14690,8909920759,     limit=14378,4682206793,     length=0,122733686770601,     
